Regiões,Especie,2010_hec_k,2010_%,2015_hec_k,2015_%
OESTE,Outras folhosas,5.51,8.971019211983066,5.83,9.4
OESTE,Outras resinosas,0.27,0.4395962227287528,0.4,0.6
OESTE,STD s/espécie*,0.08,0.1302507326603712,0.02,0.0
OESTE,total,61.42,99.99999999999999,61.69,100.0
REGIÃO DE AVEIRO,Pinheiro0bravo,21.53,26.85208281366924,18.89,23.5
REGIÃO DE AVEIRO,Eucaliptos,53.96,67.29857819905213,56.62,70.3
REGIÃO DE AVEIRO,Sobreiro,0.0,0.0,0.0,0.0
REGIÃO DE AVEIRO,Azinheira,0.0,0.0,0.0,0.0
REGIÃO DE AVEIRO,Carvalhos,0.03,0.037415814417560485,0.13,0.2
REGIÃO DE AVEIRO,Pinheiro0manso,0.02,0.024943876278373654,0.05,0.1
REGIÃO DE AVEIRO,Castanheiro,0.0,0.0,0.0,0.0
REGIÃO DE AVEIRO,Alfarrobeira,0.0,0.0,0.0,0.0
REGIÃO DE AVEIRO,Acácias,0.28,0.3492142678972312,0.32,0.4
REGIÃO DE AVEIRO,Outras folhosas,4.13,5.15091045148416,4.25,5.3
REGIÃO DE AVEIRO,Outras resinosas,0.15,0.18707907208780242,0.15,0.2
REGIÃO DE AVEIRO,STD s/espécie*,0.08,0.09977550511349462,0.13,0.2
REGIÃO DE AVEIRO,total,80.16,99.97505612372161,80.53,100.0
REGIÃO DE COIMBRA,Pinheiro0bravo,96.95,42.46233356692362,87.77,37.7
REGIÃO DE COIMBRA,Eucaliptos,109.27,47.8582690960056,119.58,51.3
REGIÃO DE COIMBRA,Sobreiro,0.03,0.01313945339873861,0.05,0.0
REGIÃO DE COIMBRA,Azinheira,0.0,0.0,0.0,0.0
REGIÃO DE COIMBRA,Carvalhos,1.78,0.7796075683251577,2.4,1.0
REGIÃO DE COIMBRA,Pinheiro0manso,1.84,0.8058864751226349,1.99,0.9
REGIÃO DE COIMBRA,Castanheiro,0.2,0.08759635599159074,0.3,0.1
REGIÃO DE COIMBRA,Alfarrobeira,0.0,0.0,0.0,0.0
REGIÃO DE COIMBRA,Acácias,1.8,0.7883672039243167,2.92,1.3
REGIÃO DE COIMBRA,Outras folhosas,13.77,6.031009110021023,15.67,6.7
REGIÃO DE COIMBRA,Outras resinosas,2.03,0.8891030133146458,1.63,0.7
REGIÃO DE COIMBRA,STD s/espécie*,0.65,0.2846881569726699,0.75,0.3
REGIÃO DE COIMBRA,total,228.31,99.99562018220041,233.07,100.0
REGIÃO DE LEIRIA,Pinheiro0bravo,75.1,57.983323038912914,66.92,52.4
REGIÃO DE LEIRIA,Eucaliptos,43.58,33.647313156269306,50.13,39.2
REGIÃO DE LEIRIA,Sobreiro,0.1,0.07720815318097593,0.13,0.1
REGIÃO DE LEIRIA,Azinheira,0.22,0.16985793699814702,0.25,0.2
REGIÃO DE LEIRIA,Carvalhos,3.44,2.6559604694255716,3.52,2.8
REGIÃO DE LEIRIA,Pinheiro0manso,0.15,0.1158122297714639,0.23,0.2
REGIÃO DE LEIRIA,Castanheiro,0.0,0.0,0.0,0.0
REGIÃO DE LEIRIA,Alfarrobeira,0.0,0.0,0.0,0.0
REGIÃO DE LEIRIA,Acácias,0.15,0.1158122297714639,0.38,0.3
REGIÃO DE LEIRIA,Outras folhosas,5.53,4.269610870907969,5.26,4.1
REGIÃO DE LEIRIA,Outras resinosas,0.88,0.6794317479925881,0.83,0.6
REGIÃO DE LEIRIA,STD s/espécie*,0.37,0.2856701667696109,0.1,0.1
REGIÃO DE LEIRIA,total,129.53,100.0077208153181,127.73,100.0
VISEU DÃO LAFÕES,Pinheiro0bravo,85.14,62.7182320441989,83.36,60.0
VISEU DÃO LAFÕES,Eucaliptos,31.13,22.93186003683241,33.5,24.1
VISEU DÃO LAFÕES,Sobreiro,0.08,0.05893186003683241,0.1,0.1
VISEU DÃO LAFÕES,Azinheira,0.0,0.0,0.0,0.0
VISEU DÃO LAFÕES,Carvalhos,1.6,1.1786372007366483,2.75,2.0
VISEU DÃO LAFÕES,Pinheiro0manso,0.33,0.24309392265193372,0.18,0.1
